pairs,sub
Ce Mg,0.0136
Ce Mn,0.006
Ce Mo,0.0045
Ce N,0.0
Ce Na,0.0132
Ce Nb,0.012
Ce Nd,0.1323
Ce Ni,0.0017
Ce Np,0.0682
Ce O,0.0001
Ce Os,0.0015
Ce P,0.0011
Ce Pa,0.1379
Ce Pb,0.0082
Ce Pd,0.0019
Ce Pm,0.0078
Ce Pr,0.1145
Ce Pt,0.0019
Ce Pu,0.0696
C Er,0.0001
Ce Rb,0.0029
Ce Re,0.0024
Ce Rh,0.0013
Ce Ru,0.0023
Ce S,0.0003
Ce Sb,0.0036
Ce Sc,0.0378
Ce Se,0.0019
Ce Si,0.001
Ce Sm,0.1358
Ce Sn,0.0065
Ce Sr,0.0312
Ce Ta,0.0109
Ce Tb,0.102
Ce Tc,0.0043
Ce Te,0.003
Ce Th,0.2372
Ce Ti,0.0116
Ce Tl,0.0034
Ce Tm,0.083
Ce U,0.0767
C Eu,0.0002
Ce V,0.0065
Ce W,0.0039
Ce Y,0.094
Ce Yb,0.0596
Ce Zn,0.0024
Ce Zr,0.0523
C F,0.0011
C Fe,0.0027
C Ga,0.0039
C Gd,0.0008
C Ge,0.0096
C H,0.0067
C Hf,0.0002
C Hg,0.002
C Ho,0.0002
C I,0.0008
C In,0.0006
C Ir,0.0018
C K,0.0003
C La,0.0004
Cl Co,0.0003
Cl Cr,0.0013
Cl Cs,0.0003
Cl Cu,0.0028
Cl Dy,0.0001
Cl Er,0.0002
Cl Eu,0.0005
Cl F,0.0302
Cl Fe,0.0008
Cl Ga,0.0022
Cl Gd,0.0006
Cl Ge,0.0075
Cl H,0.0152
Cl Hf,0.0001
Cl Hg,0.0074
Cl Ho,0.0002
Cl I,0.1221
C Li,0.0003
Cl In,0.0009
Cl Ir,0.0022
Cl K,0.0013
Cl La,0.0004
Cl Li,0.0002
Cl Lu,0.0002
Cl Mg,0.0003
Cl Mn,0.0008
Cl Mo,0.0007
Cl N,0.0077
Cl Na,0.0019
Cl Nb,0.0004
Cl Nd,0.0004
Cl Ni,0.001
Cl Np,0.0011
Cl O,0.0035
Cl Os,0.002
Cl P,0.0098
Cl Pa,0.0011
Cl Pb,0.0013
Cl Pd,0.0026
Cl Pm,0.0006
Cl Pr,0.0002
Cl Pt,0.0021
Cl Pu,0.0007
Cl Rb,0.0009
Cl Re,0.0008
Cl Rh,0.0013
Cl Ru,0.0019
Cl S,0.0364
Cl Sb,0.0023
Cl Sc,0.0002
Cl Se,0.0266
Cl Si,0.0028
Cl Sm,0.0003
Cl Sn,0.0012
Cl Sr,0.0001
Cl Ta,0.0004
Cl Tb,0.0003
Cl Tc,0.0021
Cl Te,0.008
Cl Th,0.0004
Cl Ti,0.0002
Cl Tl,0.0028
Cl Tm,0.0002
Cl U,0.0006
C Lu,0.0002
Cl V,0.001
Cl W,0.0005
Cl Y,0.0002
Cl Yb,0.0015
Cl Zn,0.004
Cl Zr,0.0001
C Mg,0.0003
C Mn,0.0026
C Mo,0.0006
C N,0.0695
C Na,0.0002
C Nb,0.0002
C Nd,0.0003
C Ni,0.0019
C Np,0.0008
C O,0.0044
Co Cr,0.0331
Co Cs,0.0005
Co Cu,0.053
Co Dy,0.0049
Co Er,0.0048
Co Eu,0.0017
Co F,0.0001
Co Fe,0.193
Co Ga,0.0174
Co Gd,0.0017
Co Ge,0.0103
Co H,0.0006
Co Hf,0.0094
Co Hg,0.0084
Co Ho,0.0058
Co I,0.0009
Co In,0.0051
Co Ir,0.1271
Co K,0.0012
Co La,0.0019
Co Li,0.0199
Co Lu,0.0059
Co Mg,0.0132
Co Mn,0.0878
Co Mo,0.0129
Co N,0.0008
Co Na,0.0033
Co Nb,0.0117
Co Nd,0.0029
Co Ni,0.1958
Co Np,0.0014
Co O,0.0002
Co Os,0.0803
Co P,0.0062
Co Pa,0.0032
Co Pb,0.0042
Co Pd,0.0458
Co Pm,0.0001
Co Pr,0.003
Co Pt,0.0552
Co Pu,0.0011
Co Rb,0.0009
Co Re,0.0186
Co Rh,0.1338
Co Ru,0.1188
Co S,0.0025
C Os,0.002
Co Sb,0.0048
Co Sc,0.0097
Co Se,0.0027
Co Si,0.0127
Co Sm,0.0033
Co Sn,0.004
Co Sr,0.0022
Co Ta,0.0096
Co Tb,0.0042
Co Tc,0.0513
Co Te,0.0018
Co Th,0.0015
Co Ti,0.0127
Co Tl,0.0028
Co Tm,0.0055
Co U,0.0025
Co V,0.0217
Co W,0.0115
Co Y,0.0052
Co Yb,0.0038
Co Zn,0.0317
Co Zr,0.0079
C P,0.0094
C Pa,0.0003
C Pb,0.0007
C Pd,0.0006
C Pm,0.0
C Pr,0.0004
C Pt,0.0009
C Pu,0.0007
C Rb,0.0004
Cr Cs,0.0023
Cr Cu,0.0179
Cr Dy,0.0071
C Re,0.0008
Cr Er,0.0077
Cr Eu,0.0083
Cr F,0.001
Cr Fe,0.0951
Cr Ga,0.0172
Cr Gd,0.0091
Cr Ge,0.0144
Cr H,0.0015
C Rh,0.0008
Cr Hf,0.0257
Cr Hg,0.0035
Cr Ho,0.006
Cr I,0.0024
Cr In,0.0112
Cr Ir,0.0156
Cr K,0.0037
Cr La,0.0044
Cr Li,0.0248
Cr Lu,0.0136
Cr Mg,0.024
Cr Mn,0.1908
Cr Mo,0.1348
Cr N,0.0006
Cr Na,0.007
Cr Nb,0.049
Cr Nd,0.0043
Cr Ni,0.0207
Cr Np,0.0099
Cr O,0.0
Cr Os,0.0355
Cr P,0.0036
Cr Pa,0.0082
Cr Pb,0.0062
Cr Pd,0.0102
Cr Pm,0.0005
Cr Pr,0.0046
Cr Pt,0.008
Cr Pu,0.0088
Cr Rb,0.0022
Cr Re,0.0855
Cr Rh,0.0256
Cr Ru,0.0338
Cr S,0.0066
Cr Sb,0.0098
Cr Sc,0.0342
Cr Se,0.0117
Cr Si,0.0055
Cr Sm,0.0075
Cr Sn,0.0076
Cr Sr,0.0033
Cr Ta,0.0527
Cr Tb,0.0056
Cr Tc,0.0747
Cr Te,0.0027
Cr Th,0.0033
Cr Ti,0.0621
Cr Tl,0.0106
Cr Tm,0.0087
Cr U,0.0082
C Ru,0.0017
Cr V,0.1724
Cr W,0.117
Cr Y,0.0056
Cr Yb,0.0066
Cr Zn,0.0112
Cr Zr,0.0209
C S,0.0168
C Sb,0.0021
C Sc,0.0002
Cs Cu,0.0049
Cs Dy,0.0011
C Se,0.0112
Cs Er,0.0008
Cs Eu,0.0082
Cs F,0.0015
Cs Fe,0.0019
Cs Ga,0.0016
Cs Gd,0.0032
Cs Ge,0.0008
Cs H,0.0011
Cs Hf,0.0005
Cs Hg,0.0028
Cs Ho,0.0009
Cs I,0.003
C Si,0.0057
Cs In,0.0078
Cs Ir,0.0002
Cs K,0.2779
Cs La,0.0042
Cs Li,0.014
Cs Lu,0.0009
C Sm,0.0004
Cs Mg,0.0015
Cs Mn,0.0039
Cs Mo,0.0007
Cs N,0.0001
C Sn,0.0013
Cs Na,0.0705
Cs Nb,0.001
Cs Nd,0.0024
Cs Ni,0.0014
Cs Np,0.0022
Cs O,0.0005
Cs Os,0.0004
Cs P,0.0003
Cs Pa,0.0016
Cs Pb,0.0047
Cs Pd,0.0008
Cs Pm,0.0002
Cs Pr,0.0028
Cs Pt,0.0002
Cs Pu,0.0024
C Sr,0.0004
Cs Rb,0.6761
Cs Re,0.0002
