pairs,sub,sub_a2v
As Tc,0.0076,0.2521044586882121
As Te,0.0169,0.4102173552317706
As Th,0.0014,0.2966417715010384
As Ti,0.0064,0.1193598922611344
As Tl,0.0045,0.2421720539489487
As Tm,0.003,0.18935456915349033
As U,0.0045,0.30132906576724194
As V,0.0234,0.33009447582694545
As W,0.005,0.29793003155624564
As Y,0.0021,0.2085404481586101
As Yb,0.0014,0.2535491442489389
As Zn,0.0154,0.18652467103521395
As Zr,0.0031,0.11704156520475416
Au B,0.0033,0.15533929577030378
Au Ba,0.002,0.14482707094304892
Au Be,0.0182,0.4999499306783969
Au Bi,0.024,0.39177489221679757
Au Br,0.0085,0.25237682796882904
Au C,0.0022,0.2660836081612754
Au Ca,0.0034,0.18896981193999407
Au Cd,0.0468,0.5743592372162708
Au Ce,0.0008,0.21917582429788324
Au Cl,0.0063,0.19665036553035686
Au Co,0.0218,0.25455880592783614
Au Cr,0.0051,0.21030218076838833
Au Cs,0.0021,0.14243177756239486
Au Cu,0.152,0.7177279009300248
Au Dy,0.001,0.22325640702440033
Au Er,0.0018,0.2221705585359064
Au Eu,0.0029,0.3003638957738638
Au F,0.0013,0.11256372832936669
Au Fe,0.0144,0.13929878071981727
Au Ga,0.041,0.47769576539323494
Au Gd,0.0018,0.26685859462822253
Au Ge,0.0334,0.22251658234714894
Au H,0.0037,0.5033635612638897
Au Hf,0.0026,0.2227453876736119
Au Hg,0.1249,0.7981391858271927
Au Ho,0.0021,0.22449375003493133
Au I,0.0048,0.28592369013734636
Au In,0.0288,0.5088795554557294
Au Ir,0.0606,0.653318981636618
Au K,0.0024,0.15878793897249682
Au La,0.0017,0.2263931771415829
Au Li,0.0296,0.3060927187710337
Au Lu,0.0022,0.24733812856066606
Au Mg,0.0175,0.31674523462367704
Au Mn,0.0159,0.2374483823100081
Au Mo,0.0133,0.2187795245851548
Au N,0.001,0.0961699403472824
Au Na,0.0084,0.25035068015698714
Au Nb,0.0062,0.17739140665128336
Au Nd,0.0016,0.23776769172195533
Au Ni,0.0511,0.3189892793037969
Au Np,0.0035,0.43617044805328564
Au O,0.0003,0.08136106860001474
Au Os,0.0342,0.5240950549895523
Au P,0.0095,0.13119540088981102
Au Pa,0.0032,0.4920529797084563
Au Pb,0.0233,0.4462986004609438
Au Pd,0.1417,0.8969375804795292
Au Pm,0.0014,0.519413418749223
Au Pr,0.0014,0.23144641127641924
Au Pt,0.13,0.8552929966711232
Au Pu,0.0047,0.43377819395823797
Au Rb,0.0031,0.17243443974892272
Au Re,0.0077,0.3715529657493909
Au Rh,0.0633,0.7066011212807435
Au Ru,0.0356,0.5393532224267792
Au S,0.0049,0.14393767333115706
Au Sb,0.0222,0.3137940479330355
Au Sc,0.0042,0.36367760049772657
Au Se,0.0113,0.2134134356982983
Au Si,0.0128,0.1339107986639306
Au Sm,0.0023,0.257586585556503
Au Sn,0.0273,0.35856731984832657
Au Sr,0.0038,0.18382788488053298
Au Ta,0.0097,0.18253855432735436
Au Tb,0.0015,0.2376439471106413
Au Tc,0.0207,0.5740687231130288
Au Te,0.0088,0.3723551706911514
Au Th,0.0012,0.38736304747924494
Au Ti,0.0036,0.21738309469525374
Au Tl,0.0202,0.6176031269657885
Au Tm,0.0016,0.2503216897259301
Au U,0.0043,0.26705799240574163
Au V,0.0039,0.17672611253057433
Au W,0.0133,0.20172788793322377
Au Y,0.0016,0.27584076446951195
Au Yb,0.0045,0.31042163819001267
Au Zn,0.0966,0.5679483175020461
Au Zr,0.002,0.24109670105487915
Ba Be,0.0014,0.38191503496520096
Ba Bi,0.0037,0.1966583548609678
Ba Br,0.0007,0.11030520330121235
Ba C,0.0004,0.14987422703977218
Ba Ca,0.0665,0.9436616177407152
Ba Cd,0.0081,0.3317934765936897
Ba Ce,0.0125,0.19522051339729
Ba Cl,0.0006,0.08980382320516991
Ba Co,0.0014,0.20294552442669309
Ba Cr,0.0039,0.21858396111286163
Ba Cs,0.0273,0.16390799275480775
Ba Cu,0.0035,0.16439987256529082
Ba Dy,0.0062,0.14729679528815287
Ba Er,0.0052,0.15123449750720358
Ba Eu,0.0664,0.7978617929617983
Ba F,0.0005,0.04253548091331913
Ba Fe,0.0036,0.15857429750317228
Ba Ga,0.0018,0.10130943795379393
Ba Gd,0.0102,0.19438048511249617
Ba Ge,0.002,0.09790304596360368
Ba H,0.0009,0.20267518570048632
Ba Hf,0.002,0.13635358470158138
Ba Hg,0.0063,0.2627728423152229
Ba Ho,0.0061,0.1468003651531057
Ba I,0.0014,0.12696567168826559
Ba In,0.0037,0.08187898369627741
Ba Ir,0.0003,0.0955095260901504
Ba K,0.061,0.22036543290660143
Ba La,0.0284,0.22161193414103267
Ba Li,0.007,0.13364640050881743
Ba Lu,0.0051,0.1712394385594684
Ba Mg,0.0079,0.30588765084043334
Ba Mn,0.0067,0.2516753590891886
Ba Mo,0.0008,0.15447225016933758
Ba N,0.0,0.04326684683132159
Ba Na,0.0355,0.25768808570677426
Ba Nb,0.0017,0.1161335184877245
Ba Nd,0.0208,0.18514830795773057
Ba Ni,0.0022,0.12804067846008313
Ba Np,0.0063,0.366932814924879
Ba O,0.0003,0.03435852818250343
Ba Os,0.0003,0.11244703508692562
Ba P,0.0009,0.05792013125639438
Ba Pa,0.0051,0.30866942225447047
Ba Pb,0.0231,0.576489216207783
Ba Pd,0.0024,0.1905207308336877
Ba Pm,0.0026,0.359400209023013
Ba Pr,0.0211,0.17804200577306747
Ba Pt,0.0009,0.16282069263906743
Ba Pu,0.0095,0.37499263702402047
Ba Rb,0.0407,0.19976752736705522
Ba Re,0.0003,0.16847201879106613
Ba Rh,0.0005,0.11640445858055715
