,formula,class>1e-4
293,Li2InTi(PO4)3,0
294,Li2CrZr(PO4)3,0
295,Li2CrTi(PO4)3,0
296,Li2FeTi(PO4)3,0
297,Li2FeZr(PO4)3,0
298,Li2InZr(PO4)3,0
299,Li2InHf(PO4)3,0
300,Li1.7Fe0.7Hf1.3(PO4)3,0
301,Li2.9Sc1.9Zr0.1(PO4)3,1
302,Li2.9Sc1.9Zr0.1(PO4)3,1
303,Li3Sc2(PO4)3,0
304,Li1.7Al0.7Ti1.3(PO4)3,0
305,Li1.5Al0.5Ge1.5(PO4)3,1
306,Li1.6Al0.6Ge1.4(PO4)3,1
307,Li1.3Al0.3Ge1.7(PO4)3,0
308,Li1.7Al0.7Ti1.3(PO4)3,0
309,Li1.1Al0.1Ti1.9(PO4)3,0
310,Li1.1Al0.1Ge1.9(PO4)3,0
311,Li1.5Al0.5Ti1.5(PO4)3,0
312,Li1.05Al0.05Ti1.95(PO4)3,0
313,Li1.6Al0.6Ge0.8Ti0.6(PO4)3,1
314,Li1.4Al0.4Ge1.0Ti0.6(PO4)3,0
315,Li1.8Al0.8Ge0.8Ti0.4(PO4)3,0
316,Li1.4Al0.4Ge0.8Ti0.8(PO4)3,0
317,Li1.6Al0.6Ge1.0Ti0.4(PO4)3,0
318,Li1.2Al0.2Ge0.8Ti(PO4)3,0
319,Li1.2Al0.2Ge1.0Ti0.8(PO4)3,0
320,Li1.8Al0.8Ge1.0Ti0.2(PO4)3,0
321,Li1.2Ga0.2Ti1.8(PO4)3,0
322,LiGe2(PO4)3,0
323,LiCrSb(PO4)3,0
324,LiAlSb(PO4)3,0
325,LiFeSb(PO4)3,0
326,Li1.3Al0.3Ti1.7(PO4)3,1
327,Li1.3Sc0.3Ti1.7(PO4)3,1
328,Li1.2Y0.2Ti1.8(PO4)3,1
329,Li1.4Y0.4Ti1.6(PO4)3,1
330,Li0.7Al0.3Ti1.7(PO4)3,1
331,Li1.3Y0.3Ti1.7(PO4)3,1
332,Li1.2Fe0.2Ti1.8(PO4)3,1
333,Li1.4Sc0.4Ti1.6(PO4)3,1
334,Li1.2In0.2Ti1.8(PO4)3,1
335,Li1.4Fe0.4Ti1.6(PO4)3,1
336,Li1.4In0.4Ti1.6(PO4)3,1
337,Li1.5In0.5Ti1.5(PO4)3,1
