element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rb,3.5720064640045166,-6.964901447296143,-8.9159517288208,-2.534707546234131,-2.636120319366455,2.388922691345215,-4.659540176391602,-2.0583367347717285,7.033527374267578,-2.754366636276245,-2.6225740909576416,11.381927490234375,0.6977969408035278,14.485158920288086,-6.402763843536377,11.519943237304688,4.708364963531494,1.82759428024292,-1.2350176572799683,9.704804420471191
Sr,2.016749858856201,8.989736557006836,-1.9275206327438354,3.3323709964752197,-2.749460458755493,-4.758718490600586,-12.788780212402344,-2.681957483291626,0.9103507995605469,3.5652194023132324,-3.9364702701568604,-10.027578353881836,-19.202621459960938,1.3180917501449585,0.07469279319047928,7.8499298095703125,7.885666847229004,-2.3420262336730957,-2.5210494995117188,15.75672435760498
Y,0.135054349899292,4.6728835105896,-4.764705657958984,-2.695448398590088,-1.4991698265075684,-2.7151072025299072,6.126965045928955,1.1387640237808228,1.331581473350525,-2.1208972930908203,2.2853310108184814,0.5991584062576294,3.6651437282562256,-1.8827086687088013,1.541355848312378,-2.5944032669067383,0.5916125178337097,-20.65892219543457,-5.5316925048828125,23.732379913330078
Zr,1.0400842428207397,-3.413444757461548,0.6195992827415466,0.3578937351703644,-8.039908409118652,-2.6532886028289795,-0.3981022834777832,10.265077590942383,-12.654374122619629,-0.9284275770187378,0.9840019941329956,5.07832145690918,-3.117124557495117,4.153512001037598,-0.45792198181152344,-5.53959321975708,-4.587539196014404,-1.9840493202209473,-2.2891950607299805,15.8091459274292
Nb,0.3937135338783264,-3.192354202270508,0.15569104254245758,2.3188929557800293,-3.6200170516967773,-2.4409286975860596,-2.4626049995422363,3.0030157566070557,-12.17119026184082,1.1778531074523926,3.778839111328125,5.533121109008789,-3.486712694168091,7.979208469390869,-1.9151967763900757,-7.094483375549316,-5.503598690032959,1.4972167015075684,-1.8540964126586914,10.767502784729004
Mo,-1.958751916885376,-0.9604569673538208,-0.2908713221549988,1.238102674484253,1.0457408428192139,1.154131293296814,-3.8996992111206055,1.1341559886932373,-8.082335472106934,0.15548208355903625,3.5734755992889404,4.807506084442139,-4.395479679107666,6.025336742401123,-3.675753116607666,-8.433897018432617,-3.773963689804077,3.944662570953369,-1.487294316291809,9.927956581115723
Tc,-0.2323826253414154,0.09255329519510269,-1.1096529960632324,-1.888203501701355,3.1283304691314697,-0.0698365569114685,-2.5967721939086914,1.2049590349197388,-2.741506338119507,0.5677842497825623,0.5275332927703857,0.8885321617126465,1.3946590423583984,0.8950178027153015,-0.9439725875854492,-2.36995005607605,0.11042595654726028,3.289600372314453,-0.6261436343193054,5.891332626342773
Ru,1.3380228281021118,1.7704434394836426,-2.883898973464966,-10.163052558898926,9.017007827758789,0.21156859397888184,-8.625722885131836,0.7226324677467346,-5.420936584472656,1.1971122026443481,-1.024666666984558,0.2759464979171753,6.943070888519287,-2.084876537322998,-1.2315170764923096,-7.49269437789917,3.339717388153076,10.058838844299316,-1.4607170820236206,12.568199157714844
Rh,0.8901405930519104,3.433120012283325,-2.755061149597168,-9.691583633422852,4.7962327003479,-0.5950859785079956,-11.339178085327148,-0.3828810751438141,-6.345558166503906,2.4035584926605225,-4.56074333190918,-0.45772385597229004,13.257040023803711,-7.447811603546143,-1.887702465057373,-5.5118584632873535,7.091315746307373,11.644123077392578,-1.5962713956832886,17.369369506835938
Pd,0.4334697723388672,2.8987138271331787,-0.14190633594989777,2.1992716789245605,-2.3293166160583496,-0.1599964201450348,-5.882368564605713,0.056821729987859726,-9.438851356506348,3.509977340698242,-7.348930835723877,-1.8644604682922363,13.30084228515625,-10.965978622436523,-1.9510746002197266,0.33730778098106384,9.994166374206543,11.834212303161621,-1.156318187713623,19.61347770690918
Ag,1.2224749326705933,0.8156121969223022,-2.032414197921753,7.849164962768555,3.0436384677886963,3.0817763805389404,3.304816961288452,-0.6487724184989929,-4.521917819976807,-0.8036264777183533,-0.499058336019516,4.545772075653076,8.5267972946167,-1.7126327753067017,-0.5537950992584229,10.596405029296875,8.409208297729492,7.593818664550781,-1.9127143621444702,16.921253204345703
Cd,-1.890760898590088,-5.533705711364746,-1.860501766204834,-0.8306452035903931,1.3155924081802368,5.5868988037109375,5.559482574462891,0.8851931691169739,-3.3873403072357178,-0.2671310305595398,4.4143781661987305,-6.348053932189941,-4.954413414001465,-6.1617865562438965,5.52927827835083,11.296798706054688,4.844226360321045,6.2959980964660645,-2.093277931213379,17.12358856201172
In,-4.70223331451416,-2.737860918045044,-0.08731935173273087,-2.5516364574432373,-2.972792387008667,12.35725212097168,-2.1914610862731934,-2.3444600105285645,2.493283271789551,-2.8207485675811768,14.663304328918457,0.5611133575439453,3.5476491451263428,-5.122296333312988,10.007193565368652,11.5294771194458,-6.013797760009766,4.457740306854248,-2.764878511428833,21.107088088989258
Sn,-3.361196279525757,7.595658779144287,4.387669563293457,-1.4311904907226562,-9.432412147521973,19.283754348754883,-0.7685312032699585,0.8066848516464233,0.39923784136772156,-1.6020762920379639,-1.846504807472229,0.3714483082294464,-4.2034759521484375,-1.7848597764968872,10.719013214111328,6.130758285522461,-14.54454231262207,9.553326606750488,-2.071729898452759,20.04613494873047
Sb,-3.192131757736206,7.797082901000977,3.6540098190307617,0.43206116557121277,-3.3653860092163086,6.443874359130859,2.8066952228546143,-20.38590431213379,-3.2326109409332275,4.185291767120361,5.568725109100342,-0.761966347694397,0.9626370668411255,3.605187177658081,0.0677100419998169,-0.06391030550003052,-15.900184631347656,5.098933219909668,-1.2447177171707153,16.60907745361328
