,composition,class>1e-4
256,Li1.2Sc0.2Ti1.8(PO4)3,1
257,Li1.8Sc0.8Ti1.2(PO4)3,1
258,Li1.1Sc0.1Ti1.9(PO4)3,1
259,Li4Nd3TeSbO12,0
260,Li6FeCl8,0
261,LiTi1.8Zr0.2(PO4)3,0
262,LiTi0.2Zr1.8(PO4)3,0
263,Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,0
264,LiTi0.5Zr1.5(PO4)3,0
265,(YPO4)0.5(Li3PO4)0.5,0
266,Li1.15Fe0.15Ti1.85(PO4)3,1
267,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,1
268,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,1
269,Li4.2Ge0.8Ga0.2S4,0
270,Li6La2SrNb2O12,0
271,Li1.4S2.2P0.6,0
272,LiTiZr(PO4)3,0
273,Li7.02Ga0.98Ge4.41S12.39I3,1
274,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,1
275,Li6.75La3Zr1.75Ta0.25O12,1
276,Li3Cr(MoO4)3,0
277,Li2Mg2(MoO4)3,0
278,Li3.75Si0.75P0.25O4,0
279,Li4.25Si0.75Al0.25O4,0
280,Li4Al0.33Si0.33P0.33O4,1
281,LiP0.9I0.1O2.7,1
282,LiTi0.1Zr1.9(PO4)3,0
283,Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,1
284,Li3.6Ge0.4P0.6S4,1
285,Li3.35Ge0.35P0.65S4,1
286,Li6NiCl8,0
287,Li1.2Y0.2Hf1.8(PO4)3,0
288,Li6.46Al0.15La3Zr1.95O11.86,0
289,Li1.2Sc0.2Hf1.8(PO4)3,0
290,Li1.3Sc0.3Hf1.7(PO4)3,0
291,Li1.1Lu0.1Hf1.9(PO4)3,0
292,Li1.4Y0.4Hf1.6(PO4)3,0
293,Li1.4Sc0.4Hf1.6(PO4)3,0
294,Li1.2Lu0.2Hf1.8(PO4)3,0
295,Li1.3Fe0.3Hf1.7(PO4)3,0
296,Li1.3Y0.3Hf1.7(PO4)3,0
297,Li1.1Sc0.1Hf1.9(PO4)3,0
298,Li1.4Lu0.4Hf1.6(PO4)3,0
299,Li1.1In0.1Hf1.9(PO4)3,0
300,Li1.3Cr0.3Hf1.7(PO4)3,0
301,Li1.2Cr0.2Hf1.8(PO4)3,0
302,Li1.5Cr0.5Hf1.5(PO4)3,0
303,Li6PO5Cl,0
304,Li1.1Cr0.1Hf1.9(PO4)3,0
305,Li1.3Eu0.3Ti1.7(PO4)3,0
306,Li1.3Lu0.3Hf1.7(PO4)3,0
307,Li1.1Fe0.1Hf1.9(PO4)3,1
308,Li1.1Y0.1Hf1.9(PO4)3,0
309,Li7.06La3Zr1.94Y0.06O12,1
